study_id,site_id,core_id,species_code,code_type,habitat
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg1,Berg1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Berg2,Berg2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Breede2,Breede2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna1,Knysna1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Knysna2,Knysna2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C2,Zostera capensis,Genus species,seagrass
